by,descendants,id,kids,score,text,time,title,type,url
ricklamers,15.0,20534729,"[20535472, 20546264, 20546150, 20536047, 20541340, 20540792, 20541639, 20536191, 20535733, 20539498]",78,,1564148716,Show HN: I built a spreadsheet app with Python to make data science easier,story,https://hackernoon.com/introducing-grid-studio-a-spreadsheet-app-with-python-to-make-data-science-easier-tdup38f7
phlowbieuq,31.0,20528833,"[20529376, 20529901, 20529802, 20530487, 20530142, 20529524, 20529634, 20532191, 20531214, 20530468, 20529425, 20529410]",86,,1564084072,Pineapple Day: How I Started a Global Holiday,story,https://startupandrew.com/posts/how-i-started-pineapple-day-holiday/
hirundo,94.0,20548050,"[20548365, 20548323, 20548238, 20548415, 20548240, 20548206, 20548451, 20548236, 20548215, 20549541, 20548248, 20548249, 20548269]",59,,1564328147,People make incorrect assumptions about their opposing political party,story,https://www.washingtonpost.com/opinions/youre-probably-making-incorrect-assumptions-about-your-opposing-political-party/2019/07/26/9f888f0a-a995-11e9-86dd-d7f0e60391e9_story.html
XnoiVeX,43.0,20546998,"[20547199, 20547266, 20547213]",39,,1564313761,How crooks stalled the rise of electric cars for 100 years (2017),story,https://www.newscientist.com/article/mg23531420-600-how-crooks-stalled-the-rise-of-electric-cars-for-100-years/
javinpaul,6.0,20534211,"[20538301, 20541853, 20537548, 20541183]",68,,1564143985,Milkman: An Extensible Alternative to Postman in JavaFX,story,https://github.com/warmuuh/milkman
GordonS,30.0,20556095,"[20556905, 20556646, 20557202, 20557314, 20557301]",136,,1564416639,Dutch gov publishes report on Microsoft telemetry,story,https://www.privacycompany.eu/en/new-dpia-on-microsoft-office-and-windows-software-still-privacy-risks-remaining-short-blog/
pseudolus,31.0,20556201,"[20557331, 20556426, 20556491, 20557016, 20556983, 20556568, 20556648, 20557137, 20556455, 20557085, 20556800, 20557286, 20557234, 20556614, 20556556]",79,,1564417094,Why Lie Detector Tests Can’t Be Trusted,story,https://www.smithsonianmag.com/innovation/why-lie-detector-tests-cant-be-trusted-180972724/
hhs,13.0,20556145,"[20557309, 20556653, 20557138, 20556930, 20556821, 20556563, 20556571, 20557157]",68,,1564416851,India tiger census shows rapid population growth,story,https://www.bbc.com/news/world-asia-india-49148174
gklitt,6.0,20556382,"[20557232, 20557321, 20557063, 20557061]",43,,1564417892,Browser extensions are underrated: the promise of hackable software,story,https://www.geoffreylitt.com/2019/07/29/browser-extensions.html
sktrdie,8.0,20556217,"[20556939, 20556877, 20557128, 20556608, 20556689, 20556987, 20556702, 20557184]",43,,1564417183,B-threads: programming in a way that allows for easier changes,story,https://medium.com/@lmatteis/b-threads-programming-in-a-way-that-allows-for-easier-changes-5d95b9fb6928
smacktoward,57.0,20555550,"[20556928, 20556326, 20556991, 20556708, 20556847, 20556132, 20556600, 20555983, 20556410, 20556317, 20556285, 20556529, 20556267]",113,,1564413995,Bethesda removing mandatory login from Doom re-releases after fan backlash,story,https://www.gamasutra.com/view/news/347550/Bethesda_removing_mandatory_login_from_Doom_rereleases_after_fan_backlash.php
JumpCrisscross,10.0,20556045,"[20556973, 20557293, 20556946, 20557247]",43,,1564416423,Beijing Presses Hong Kong Government to Quell Unrest,story,https://www.wsj.com/articles/beijing-presses-hong-kong-government-to-quell-unrest-11564404626?mod=rsswn
jseliger,7.0,20556068,"[20557296, 20557287, 20557177, 20556997, 20556894]",29,,1564416520,Deeper well drilling an unsustainable stopgap to groundwater depletion,story,https://www.nature.com/articles/s41893-019-0325-z
jmsflknr,4.0,20556346,"[20556775, 20556838]",26,,1564417750,YC-backed Vahan is helping low-skilled workers in India find jobs on WhatsApp,story,https://techcrunch.com/2019/07/29/vahan-yc-india/
thepete2,39.0,20555463,"[20556990, 20556726, 20557231, 20557171, 20556637, 20557201, 20556750, 20556666, 20557048, 20556801, 20557262, 20556827, 20556692]",78,,1564413579,Librem 5 FOSS smartphone – final specs,story,https://puri.sm/posts/librem-5-smartphone-final-specs-announced/
randomwalker,142.0,20554240,"[20554822, 20554656, 20554674, 20554897, 20554807, 20554726, 20555766, 20554854, 20554643, 20555750, 20555150, 20555206, 20555040, 20555238]",112,,1564406031,What Happened with West Virginia’s Blockchain Voting Experiment?,story,https://slate.com/technology/2019/07/west-virginia-blockchain-voting-voatz.html
jbegley,8.0,20555785,"[20557040, 20556922, 20556970]",30,,1564415157,China’s Giant Spy Drone Just Tailed a U.S. Navy Cruiser,story,https://nationalinterest.org/blog/buzz/china%E2%80%99s-giant-spy-drone-just-tailed-us-navy-cruiser-69881
wallflower,0.0,20547295,,10,,1564318711,Senior Citizens Struggle with Suicide as Loneliness and Isolation Set In,story,https://www.npr.org/2019/07/27/745017374/isolated-and-struggling-many-seniors-are-turning-to-suicide
charlysl,39.0,20554194,"[20554993, 20554949, 20555633, 20555442, 20554711, 20554777, 20556615, 20555334, 20555346, 20556312, 20554885, 20554714]",268,,1564405706,Data Engineering Cookbook,story,https://github.com/andkret/Cookbook
dkarbayev,108.0,20552752,"[20555477, 20554894, 20555909, 20556500, 20554508, 20554083, 20554001, 20556756, 20554239, 20554994, 20556954, 20554188, 20556826, 20555513, 20554584, 20556350, 20554455]",165,,1564391680,Go Contracts – Draft Design,story,https://go.googlesource.com/proposal/+/master/design/go2draft-contracts.md
akdas,11.0,20554540,"[20555994, 20556565, 20555296, 20555293, 20555327]",60,,1564408152,Improved seam carving with forward energy,story,https://avikdas.com/2019/07/29/improved-seam-carving-with-forward-energy.html
cburgdorf,70.0,20553024,"[20554171, 20555095, 20553629, 20553258, 20553192, 20553217, 20554380, 20555313, 20553790, 20553313, 20553189, 20553252]",125,,1564394961,Lahja – A generic event bus implementation written in Python,story,https://github.com/ethereum/lahja
lanrh1836,122.0,20555351,"[20555707, 20556261, 20555635, 20557297, 20556328, 20555700, 20556887, 20555600, 20556616, 20556076, 20556627, 20556280, 20555820, 20556531, 20555979, 20555618, 20555628]",132,,1564413019,Lambda School fined $75k by CA for operating without state approval [pdf],story,https://www.bppe.ca.gov/enforcement/actions/lambdainc_ord.pdf
kerzol,4.0,20556734,[20556823],6,,1564419492,Siberian Fire and Flood Apocalypse,story,http://siberiantimes.com/ecology/others/news/fire-and-flood-apocalypse-with-wildfires-raging-and-dire-threat-to-baikal-worlds-deepest-lake/
80mph,23.0,20546539,"[20555699, 20555248, 20555617]",55,,1564304447,You Say What You Eat,story,https://www.archaeology.org/issues/346-1907/trenches/7748-trenches-physical-linguistic-development
signa11,51.0,20546955,"[20557338, 20555021, 20556958, 20554620, 20555139, 20554735, 20557222, 20556442, 20556710, 20554320, 20556502, 20555251, 20554753, 20551348, 20550714, 20555102, 20548755, 20554361, 20555144]",121,,1564313029,RISC Is Unscalable,story,https://blackhole12.com/blog/risc-is-fundamentally-unscalable/
curtis,2.0,20544628,[20551103],17,,1564266169,"A Shipwreck, 500 Years Old, Appears on the Baltic Seabed",story,https://www.nytimes.com/2019/07/22/science/shipwreck-archeology-shipwreck.html
dnetesn,85.0,20541446,"[20553759, 20553803, 20552141, 20552088, 20554729, 20551948, 20554409, 20554990, 20553882, 20553119, 20553157, 20551995, 20552014, 20552902, 20552923, 20552370, 20551862]",230,,1564225905,Drones will fly for days with new photovoltaic engine,story,https://techxplore.com/news/2019-07-drones-days-photovoltaic.html
hhs,153.0,20554806,"[20556793, 20555833, 20556098, 20555894, 20556681, 20555899, 20555917, 20556684, 20555751, 20556933, 20555742, 20556794, 20555885, 20557050, 20555848, 20556660, 20555988, 20556109, 20556282, 20556755, 20555688, 20556105, 20556380, 20556347, 20556484, 20556203]",142,,1564409760,YouTube faces creator backlash,story,https://www.axios.com/youtube-faces-creator-backlash-30b7e425-ec93-4f02-aec3-6f418e009b56.html
danielnixon,27.0,20545850,"[20556007, 20555280, 20555705, 20555698, 20557045, 20556164, 20557072, 20555701, 20557290, 20556294, 20555578]",58,,1564288409,Engineers Don't Solve Problems (2018),story,https://logicmag.io/failure/engineers-dont-solve-problems/
jseliger,1.0,20556043,[20556241],8,,1564416418,Zoning laws have become absurdly restrictive,story,https://www.nytimes.com/2019/07/28/opinion/affordable-housing-zoning-golden-girls.html
0mbre,23.0,20556336,"[20557317, 20557291, 20556971, 20557205, 20557150, 20556986, 20557086, 20557207, 20557169, 20557250, 20557009, 20556586, 20556898, 20557012, 20556989]",40,"I am rather fond of the concepts described in &quot;Clean Code&quot; by Robert Martin but it seems that in real life, a really high-quality codebase is hard to come by.<p>While I am asking myself this question, the only one that popups to my mind would be Laravel: https:&#x2F;&#x2F;github.com&#x2F;laravel&#x2F;laravel (PHP)<p>One could think that a codebase as popular as React (https:&#x2F;&#x2F;github.com&#x2F;facebook&#x2F;react) would be a perfect example of &quot;clean code&quot; but with a glance, I personally don&#x27;t find it very expressive.<p>This may all be very subjective but I would love to see examples of codebases that member of this community have enjoyed working with",1564417683,Ask HN: What are the “best” codebases that you've ever encountered?,story,
geerlingguy,196.0,20555249,"[20555360, 20555358, 20555331, 20555326, 20557198, 20555399, 20555703, 20555362, 20555315, 20555655, 20555273, 20555498, 20555370, 20555594, 20555965, 20555601, 20555598, 20556844, 20555494, 20556665, 20555571, 20555452, 20555287, 20555347, 20555320, 20555488, 20555419, 20555321, 20555344, 20555516, 20555357, 20555647, 20556170, 20555397]",275,,1564412310,Slack Is Down,story,https://status.slack.com/2019-07/b31a6510b8caabcc
nkurz,5.0,20547252,[20555900],16,,1564318174,Are Bioplastics Better for the Environment? It’s Complicated,story,https://undark.org/2019/07/23/bioplastics-biodegradable-plastics-better-for-environment/
fpoling,15.0,20546503,"[20555747, 20554713, 20553847, 20555182, 20555889, 20556237, 20551033]",62,,1564303779,The Dark Ages of AI (1985) [pdf],story,https://pdfs.semanticscholar.org/2a85/7e042331c53b856b3ad5018454f72d798790.pdf
noego,6.0,20556494,"[20557093, 20557084]",17,,1564418427,The case against reality: A new theory argues consciousness creates neural AC,story,https://neurosciencenews.com/visual-reality-14590/
johnny313,0.0,20556869,,14,,1564420261,No One Is Safe: How Saudi Arabia Makes Dissidents Disappear,story,https://www.vanityfair.com/news/2019/07/how-saudi-arabia-makes-dissidents-disappear
howard941,2.0,20555503,[20555783],11,,1564413782,The Elite Club That Rules the Diamond World Is Starting to Crack,story,https://www.bloomberg.com/news/articles/2019-07-29/the-elite-club-that-rules-the-diamond-world-is-starting-to-crack
bryanrasmussen,20.0,20547824,"[20555586, 20551781, 20551806, 20553329, 20553683, 20555838, 20553359, 20552795]",101,,1564325305,"What Hokusai’s Great Wave tells us about museums, copyright, online collections",story,https://medium.com/open-glam/the-great-wave-what-hokusais-masterpiece-tells-us-about-museums-copyright-and-online-da0f25bd4ed2
pointfree,40.0,20550656,"[20551190, 20551031, 20551005, 20551337, 20551433, 20552132, 20552238, 20550945, 20551695]",141,,1564360912,Levels of code in Forth programming (2002),story,http://www.ultratechnology.com/levels.htm
guiambros,8.0,20551571,"[20555406, 20557031, 20557054, 20556836]",83,,1564375437,How I Side Project,story,https://dotink.co/posts/how-i-side-project/
theocs,16.0,20552850,"[20553293, 20556367, 20553632, 20552966, 20553755, 20554623, 20553810]",72,,1564392746,Introduction to Decentralisation,story,https://www.ledgerpath.com/blog/2019/07/introduction-to-decentralisation
ttruett,,20554122,,1,,1564405232,Ambition (YC W14) Hiring Engineers in Tennessee,job,https://ambition.com/career/opportunity/full-stack-engineer/
leirbagarc,0.0,20556441,,17,,1564418188,NASA seeks to break the “tyranny of launch” with in-space manufacturing,story,https://arstechnica.com/science/2019/07/nasas-technology-program-funds-ambitious-in-space-manufacturing-mission/
espeed,2.0,20543181,"[20554757, 20555836]",56,,1564250100,Polyscope: a C++ viewer and UI for the rapid prototyping of geometric algorithms,story,http://polyscope.run/
roschdal,48.0,20552365,"[20553072, 20554040, 20553025, 20553364, 20556751, 20554402, 20553037, 20554424, 20554571, 20553467]",156,,1564386669,OpenPDF 1.3.0,story,https://github.com/LibrePDF/OpenPDF/releases/tag/1.3.0
JSeymourATL,3.0,20556706,"[20557119, 20557115, 20557146]",13,,1564419376,No more cardboard boxes? 3M invents an ingenious new way to ship products,story,https://www.fastcompany.com/90382264/no-more-cardboard-boxes-3m-invents-an-ingenious-new-way-to-ship-products
anigbrowl,425.0,20551615,"[20554761, 20552145, 20554572, 20553764, 20551972, 20552390, 20552638, 20557053, 20556865, 20554343, 20556361, 20556185, 20555187, 20552525, 20551979, 20552283, 20552681, 20554396, 20554876, 20555198, 20551921, 20552115, 20553406, 20555537, 20553456, 20552886, 20552501]",382,,1564376069,The human body is already close to thermal limits in many regions,story,https://theconversation.com/heatwave-think-its-hot-in-europe-the-human-body-is-already-close-to-thermal-limits-elsewhere-121003
braythwayt,252.0,20549457,"[20549523, 20550613, 20550475, 20549622, 20552300, 20552239, 20550786, 20549915, 20549493, 20549920, 20551105, 20550346, 20550251, 20550693, 20550723, 20549534, 20551250, 20550572, 20551011, 20549557, 20550555, 20549494]",489,,1564343108,Malicious code in the purescript NPM installer,story,https://harry.garrood.me/blog/malicious-code-in-purescript-npm-installer/
ksajadi,120.0,20552054,"[20552520, 20553196, 20552550, 20555768, 20552522, 20553830, 20552756, 20552695, 20552999, 20552652, 20552934, 20552738, 20552495, 20552961, 20552546, 20552553]",231,,1564382965,Work on production line of Boeing 737 Max ‘not adequately funded’,story,https://www.bbc.co.uk/news/business-49142761
JumpCrisscross,17.0,20551946,"[20556427, 20556559, 20555792, 20553105]",40,,1564381522,A Global Trash Glut Hurt a $25B Industry,story,https://www.wsj.com/articles/we-are-swamped-how-a-global-trash-glut-hurt-a-25-billion-industry-11564343534?mod=rsswn
situational87,199.0,20550709,"[20551007, 20554161, 20553648, 20552329, 20552953, 20554493, 20554073, 20551034, 20552662, 20553017, 20553379, 20550837, 20550961, 20554647, 20550972, 20551439, 20550875, 20550848, 20551383]",143,,1564361702,The Lithium Mine Buildup Is Outpacing the Electric-Car Boom,story,https://www.bloomberg.com/news/articles/2019-07-28/the-lithium-mine-buildup-is-outpacing-the-electric-car-boom
ForHackernews,3.0,20555453,"[20556953, 20555770]",14,,1564413559,You Have a Moral Obligation to Claim Your $125 from Equifax,story,https://slate.com/technology/2019/07/equifax-settlement-money-how-to-claim.html
darcys22,161.0,20551148,"[20554259, 20552305, 20551430, 20551520, 20551402, 20551273, 20552035, 20552299, 20554946, 20551298, 20556560, 20552743, 20554242, 20555312, 20551244, 20551297, 20555055, 20551764, 20551261, 20552543, 20551230, 20551601, 20551231, 20551411, 20555005, 20551238]",136,,1564368278,Currency (Restrictions on the Use of Cash) Bill 2019,story,https://www.treasury.gov.au/consultation/c2019-t395788
ytNumbers,103.0,20550923,"[20552788, 20553096, 20553317, 20553424, 20553365, 20552248, 20553068, 20553273, 20552348, 20554687, 20553030, 20553326]",111,,1564365275,More Older Couples Stay Together Because They Live Apart,story,https://www.wsj.com/articles/more-older-couples-stay-together-because-they-live-apart-11564311602?mod=rsswn
onetimemanytime,0.0,20555720,,8,,1564414860,China accuses Hong Kong protesters of committing 'evil and criminal acts',story,https://edition.cnn.com/2019/07/29/asia/china-hong-kong-protests-intl-hnk/index.html
cbfsc,2.0,20553220,"[20554914, 20555018]",29,,1564397786,Forestry in the Congo,story,https://medium.com/@c.brown_49572/in-the-congo-businesses-help-themselves-by-helping-people-c9bf46fbb9db
jmsflknr,279.0,20552797,"[20553244, 20554457, 20553433, 20553682, 20555433, 20553316, 20553356, 20553690, 20553481, 20553575, 20556000, 20553680, 20553392, 20554981, 20554415, 20554195, 20555392, 20555543, 20553641, 20554407, 20553714, 20553569, 20553246, 20553438, 20554293, 20553374, 20553661, 20554315, 20554931, 20554285, 20554270, 20553508, 20554474, 20553524, 20553588, 20553731, 20553604, 20553423]",266,,1564392200,"GitHub confirms it has blocked developers in Iran, Syria and Crimea",story,https://techcrunch.com/2019/07/29/github-ban-sanctioned-countries/
ingve,113.0,20550165,"[20551632, 20551982, 20551277, 20551826, 20551752, 20551006, 20551240, 20551093, 20551224, 20550793, 20552351, 20550869, 20551200, 20551291, 20550718]",177,,1564352867,Comparisons in C++20,story,https://brevzin.github.io/c++/2019/07/28/comparisons-cpp20/
antonkozlov,61.0,20540795,"[20552975, 20550755, 20552549, 20550499, 20550822, 20550459, 20553322, 20552290, 20551974, 20554677, 20552839, 20551138, 20553471, 20550534]",184,,1564211218,OpenBitTorrent – An Open Tracker Project,story,https://openbittorrent.com/
wglb,15.0,20550811,"[20551866, 20555592, 20551835, 20551490, 20553647, 20552205, 20551765, 20551494]",40,,1564363361,World’s largest steam locomotive rolls through Chicago area,story,https://www.chicagotribune.com/visuals/ct-viz-train-big-boy-steam-locomotive-20190726-6p6csnoqhrebdbfgg6sjcb56ga-story.html
boni11,0.0,20555681,,7,,1564414677,Android Ransomware is back – spreads via SMS to victim contacts,story,https://www.welivesecurity.com/2019/07/29/android-ransomware-back
pseudolus,97.0,20549422,"[20550376, 20550682, 20549736, 20549769, 20550186, 20550082, 20549789, 20550989, 20550464, 20549832, 20550599, 20551057, 20549942, 20549801, 20550482, 20549741]",187,,1564342609,"Border Collie Trained to Recognize 1,022 Nouns Dies",story,https://www.nytimes.com/2019/07/27/science/chaser-border-collie-dies.html
jalospinoso,37.0,20549442,"[20553219, 20555437, 20551662, 20552457, 20554203, 20553593, 20551446, 20551408, 20553749, 20551147]",114,,1564342944,On Writing a C++ Book,story,https://lospi.net/c/c++/programming/developing/software/2019/07/28/cpp-crash-course.html
maherdeeb,73.0,20550167,"[20550518, 20550658, 20551599, 20552500, 20550703, 20550317, 20550767, 20554058, 20552669, 20550722, 20550602, 20552805, 20550666, 20552651, 20550388, 20551434, 20554579, 20551616, 20553114, 20551722, 20552409, 20550319, 20551032, 20551994, 20551909, 20552858, 20550706, 20554146, 20551678, 20551953, 20551052, 20551000, 20552496, 20551355]",149,,1564352943,Show HN: Memorize Terminal Commands,story,https://www.memorize-terminal-commands.com/
timafuyc,68.0,20540852,"[20549190, 20547705, 20547233, 20549106, 20547209, 20550361, 20547355, 20554099, 20547156, 20549754, 20549713]",498,,1564212569,Tokyo subway’s humble duct-tape typographer,story,https://medium.com/@chrisgaul/tokyo-subways-humble-duct-tape-typographer-a8c84bb6b99b
tobr,179.0,20549685,"[20556576, 20556492, 20550018, 20550455, 20550570, 20552447, 20553959, 20550244, 20552513, 20550579, 20552766, 20550326, 20550083, 20550121, 20550088, 20552210, 20551747, 20550193, 20550008, 20551330, 20550683, 20551855, 20550779, 20550101, 20552007, 20551195, 20550450, 20551206, 20552302, 20551342, 20550485, 20551170, 20550052, 20551898, 20550023, 20552945, 20550228, 20551801, 20551915, 20550087, 20552464]",197,,1564345764,Why Hypercard Had to Die (2011),story,http://www.loper-os.org/?p=568
srameshc,260.0,20549804,"[20552942, 20550947, 20551312, 20552741, 20552128, 20550517, 20552336, 20553940, 20556994, 20551928, 20550711, 20551923, 20551362, 20556047, 20554586, 20552224, 20552907, 20554767, 20552234, 20553717, 20552950, 20553447, 20553762, 20553163, 20551082, 20553389, 20556507, 20552900, 20552749, 20550828, 20552880, 20551692, 20552768, 20553669, 20550951, 20552434, 20551880, 20553432, 20550998, 20551832, 20554176, 20551576]",326,,1564347445,Americans' plastic recycling is dumped in landfills,story,https://www.theguardian.com/us-news/2019/jun/21/us-plastic-recycling-landfills
EndXA,189.0,20549706,"[20551438, 20550615, 20551846, 20550836, 20550831, 20550715, 20551643, 20555713, 20552851, 20550766, 20550898, 20550592, 20550669, 20550874]",140,,1564345983,Suicide Attempters’ Long-Term Survival,story,https://www.hsph.harvard.edu/means-matter/means-matter/survival/
haasted,72.0,20549424,"[20551311, 20551187, 20550226, 20551318, 20550493, 20554816, 20551633, 20552962, 20551534, 20550862, 20554221, 20550785, 20552865]",166,,1564342642,In Praise of Walking,story,https://www.theguardian.com/lifeandstyle/2019/jul/28/its-a-superpower-how-walking-makes-us-healthier-happier-and-brainier
based2,4.0,20541488,"[20552821, 20541490]",34,,1564226863,Exploiting a No-Name FreeBSD Kernel Vulnerability,story,https://www.synacktiv.com/posts/exploit/exploiting-a-no-name-freebsd-kernel-vulnerability.html
aniham,13.0,20550445,"[20550751, 20552641, 20551370]",30,,1564357299,Downward Mobility (1982),story,http://nymag.com/news/features/48652/
jitbit,49.0,20553028,"[20554681, 20553654, 20554418, 20555413, 20553657, 20553969, 20555062, 20553670, 20555431, 20554737, 20553678, 20554950, 20554244]",81,,1564395033,How we send 22000 emails every hour,story,https://www.jitbit.com/news/email-architecture/
gilad,21.0,20550143,"[20555244, 20551742, 20556129, 20551682, 20553354, 20552260, 20551659, 20551493, 20555445]",25,,1564352505,Worried Delivery Drivers Are Eating Orders? You Have Good Reason,story,https://www.restaurantbusinessonline.com/operations/worried-delivery-drivers-are-eating-orders-you-have-good-reason
bsg75,0.0,20549895,,19,,1564348742,Supervisors Driven by Bottom Line Fail to Get Top Performance: Study,story,https://www.baylor.edu/mediacommunications/news.php?action=story&story=211538
dredmorbius,530.0,20542107,"[20542705, 20542852, 20542612, 20556909, 20542618, 20542656, 20542368, 20543637, 20543155, 20542851, 20543535, 20544503, 20543092, 20542505, 20542390, 20542427, 20544736, 20543355, 20542906, 20544023, 20552083, 20543126, 20543328, 20545816, 20543422, 20546392, 20542523, 20553103, 20547999, 20545315, 20544694, 20550303, 20545010, 20545070, 20544898, 20547338, 20545154, 20543949, 20546825, 20545782, 20546652, 20542354, 20548675, 20544245, 20544661, 20547432, 20545191, 20544173, 20545183, 20545361, 20545420, 20544140, 20545457, 20542443, 20542689, 20542723, 20546523, 20544271, 20545422, 20548145, 20542905, 20542879, 20544063, 20543699, 20544264, 20544984, 20546265, 20543996, 20543567, 20542383, 20542804, 20543508, 20542624]",884,,1564236658,Adblocking: How about Nah?,story,https://www.eff.org/deeplinks/2019/07/adblocking-how-about-nah
dons,21.0,20540493,"[20554507, 20551382, 20552164, 20555272, 20552343, 20551489]",119,,1564204126,Scaling Static Analyses at Facebook,story,https://m-cacm.acm.org/magazines/2019/8/238344-scaling-static-analyses-at-facebook/
foobar123321,115.0,20546906,"[20548092, 20553083, 20550889, 20551354, 20550787, 20554957, 20554694, 20553102, 20552208, 20547148, 20548799, 20551771, 20551379, 20551350, 20552250, 20551331, 20549426, 20554041, 20554797, 20551236, 20552560, 20552097, 20551762, 20551545, 20549398, 20552916, 20550775, 20551351, 20551094, 20552037, 20553486, 20552516, 20552257, 20552153, 20546951, 20554209, 20551467, 20550854, 20551026, 20553472, 20550826, 20551278]",157,"Hi HNers, I&#x27;ve built a lot of software in Python and Ruby over the years and recently, I&#x27;ve become interested in Lisp but am unsure which Lisp&#x2F;Scheme variant to learn for building production grade software.<p>Ideally, I would like to learn the most modern one i.e. robust package management, tooling, ecosystem, etc. Really the main requirement is that I would like to be able to build production ready software with a Lisp that I can use at and for my company.<p>I&#x27;ve looked into Clojure and like a lot about it, but don&#x27;t want to have to dig into the Java world. Is there any alternative out there? Any suggestions are appreciated :)",1564312098,Ask HN: Best Lisp for software development?,story,
rspivak,1.0,20550516,[20555867],18,,1564358322,Book Review: Designing Data-Intensive Applications,story,https://henrikwarne.com/2019/07/27/book-review-designing-data-intensive-applications/
boshomi,5.0,20546609,[20551905],33,,1564306078,The Logic of Scientific Discovery (1935) [pdf],story,http://strangebeautiful.com/other-texts/popper-logic-scientific-discovery.pdf
tomerbd,18.0,20551592,"[20552793, 20555962, 20554466, 20553043, 20554855]",69,,1564375729,Noam Chomsky: Life Expectancy in the US Is Declining for a Reason,story,https://truthout.org/articles/noam-chomsky-life-expectancy-in-the-us-is-declining-for-a-reason/
mathgenius,2.0,20547013,"[20554618, 20551051]",10,,1564314077,Fundamental? (2018) [pdf],story,https://fqxi.org/data/essay-contest-files/Adlam_fundamental_essay_Jan.pdf
jessepollak,27.0,20549354,"[20550537, 20550004, 20551989, 20551043, 20549546, 20550526, 20549535, 20549872, 20549609]",126,,1564341902,"Coinbase Incident Post Mortem: June 25–26, 2019",story,https://blog.coinbase.com/incident-post-mortem-june-25-26-2019-1d08c1657cbc
rubayeet,18.0,20541275,"[20549568, 20550061, 20550813, 20550855, 20551092, 20551961, 20551782, 20550389, 20550606]",147,,1564221965,Mango leaves: Indian scientists' solution to a $2.5T global shipping problem,story,https://qz.com/india/1673557/indian-scientists-use-mango-leaf-to-prevent-ships-from-rusting/
imartin2k,81.0,20549056,"[20551459, 20549947, 20549586, 20550532, 20549694, 20549703, 20556464, 20551813, 20552006, 20550222, 20555330, 20551077, 20549944, 20550108, 20552105, 20550248, 20550139, 20550063, 20549908, 20550588, 20551707, 20550573, 20550074]",161,,1564338538,Misunderstanding Dunning-Kruger,story,https://theness.com/neurologicablog/index.php/misunderstanding-dunning-kruger/
kwindla,2.0,20547911,"[20552110, 20552350]",13,,1564326459,Herman Melville at Home,story,https://www.newyorker.com/magazine/2019/07/29/herman-melville-at-home
kamiYcombi,17.0,20554305,"[20554468, 20555961, 20555837]",6,,1564406523,Sleeping Tesla driver ploughed into 11 traffic cones on a motorway,story,https://www.theregister.co.uk/2019/07/26/tesla_driver_autopilot_motorway_idiocy/
sorokod,44.0,20541683,"[20550178, 20550105, 20541745, 20549998, 20547680, 20550739, 20550675, 20550183]",97,https:&#x2F;&#x2F;www.theguardian.com&#x2F;uk-news&#x2F;2019&#x2F;jul&#x2F;27&#x2F;joke-on-roman-souvenir-bloomberg-building-site-city-of-london,1564229970,"“Roman Biro”, complete with joke, found at London building site",story,https://www.theguardian.com/uk-news/2019/jul/27/joke-on-roman-souvenir-bloomberg-building-site-city-of-london
radhakrsna,111.0,20546356,"[20546383, 20546820, 20546670, 20548694, 20546798, 20548062, 20547401, 20547044, 20547088, 20549487, 20548149, 20548874, 20547230, 20547326, 20547164, 20547759, 20547690, 20547471, 20548173, 20547031, 20547532, 20547875, 20549910, 20546640, 20547214, 20547955, 20546849, 20546657, 20546742, 20546723, 20548955, 20546865, 20546656, 20546967]",227,,1564300451,Show HN: TLDR This – Auto summarize any article or webpage in a click,story,https://tldr.hackeryogi.com/
Red_Tarsius,61.0,20546288,"[20546626, 20557156, 20546611, 20546440, 20547070, 20546972, 20548423, 20546588, 20546760, 20547702, 20546654]",206,,1564299005,Canada’s Forgotten Rainforest,story,https://thenarwhal.ca/canadas-forgotten-rainforest/
sebst,111.0,20541448,"[20549208, 20549638, 20549477, 20549536, 20549544, 20549414, 20549941, 20549229, 20549199, 20549252, 20549144, 20551759, 20549909, 20550525, 20549210, 20549943, 20549217, 20549338, 20551524, 20549134, 20549879, 20552137, 20549383, 20549151, 20550259, 20549458]",113,,1564225943,The Death of the Mom and Pop E-Store,story,https://penguindreams.org/blog/the-death-of-the-mom-and-pop-e-store/
zdw,27.0,20549983,"[20553064, 20550780, 20550990, 20552818, 20552328, 20551396]",62,,1564350192,Notqmail: Collaborative open-source successor to qmail,story,https://github.com/notqmail/notqmail
pseudolus,10.0,20547104,"[20556859, 20553347, 20551485, 20551525, 20553865]",62,,1564315763,Walking Britain’s ‘deadliest path’,story,https://www.washingtonpost.com/world/2019/07/26/britains-deadliest-path/
beefhash,31.0,20540871,"[20549905, 20549250, 20549919, 20556038, 20549597, 20550560, 20549312]",100,,1564212969,OpenBGPD: The OpenBSD BGP internet routing daemon,story,http://www.openbgpd.org/
keyle,0.0,20550758,,11,,1564362568,New Al Zimmermann's Programming Contest – Reversing Nearness,story,http://azspcs.com/Contest/Nearness
tomerbd,22.0,20541401,"[20549977, 20550316, 20549807, 20556636, 20550818, 20550308, 20556297, 20551194, 20551965]",94,,1564224797,The Farm Automation Breakthrough,story,https://www.forbes.com/sites/jimvinoski/2019/05/06/the-farm-automation-breakthrough-bringing-the-high-tech-west-coast-and-rural-rust-belt-together/
